Entry	Status	Gene names	Subcellular location [CC]
E9PXF8	reviewed	Sbf2	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16399794, ECO:0000269|PubMed:16750429, ECO:0000269|PubMed:23297362}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:16750429}. Membrane {ECO:0000250|UniProtKB:Q86WG5}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q86WG5}. Endosome membrane {ECO:0000269|PubMed:23297362}; Peripheral membrane protein {ECO:0000305}. Cell projection, axon {ECO:0000269|PubMed:23297362}. Note=Associated with membranes (By similarity). Localizes to vacuoles in hypo-osmotic conditions (PubMed:16399794). Membrane localization is likely to be mediated via its interaction with MTMR2 (PubMed:23297362). {ECO:0000250|UniProtKB:Q86WG5, ECO:0000269|PubMed:16399794, ECO:0000269|PubMed:23297362}.
Q8C5T4	reviewed	Morn3	
P16646	reviewed	Pmp22 Gas-3 Gas3 Pmp-22	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
P26041	reviewed	Msn	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:9856983}; Peripheral membrane protein {ECO:0000269|PubMed:9856983}; Cytoplasmic side {ECO:0000269|PubMed:9856983}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:9856983}. Apical cell membrane {ECO:0000269|PubMed:9856983}; Peripheral membrane protein {ECO:0000269|PubMed:9856983}; Cytoplasmic side {ECO:0000269|PubMed:9856983}. Cell projection, microvillus membrane {ECO:0000269|PubMed:9856983}; Peripheral membrane protein {ECO:0000269|PubMed:9856983}; Cytoplasmic side {ECO:0000269|PubMed:9856983}. Cell projection, microvillus {ECO:0000269|PubMed:9472040}. Note=Phosphorylated form is enriched in microvilli-like structures at apical membrane. Increased cell membrane localization of both phosphorylated and non-phosphorylated forms seen after thrombin treatment (By similarity). Localizes at the uropods of T lymphoblasts (By similarity). {ECO:0000250|UniProtKB:P26038, ECO:0000269|PubMed:9856983}.
Q80UM3	reviewed	Naa15 Narg1 Nat1 Tbdn-1 Tubedown	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}. Cytoplasm, perinuclear region {ECO:0000250}. Note=Mainly cytoplasmic, nuclear in some cases. Present in the free cytosolic and cytoskeleton-bound polysomes, but not in the membrane-bound polysomes. {ECO:0000250}.
Q8BG07	reviewed	Pld4	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:21085684}; Single-pass type II membrane protein {ECO:0000305|PubMed:21085684}. Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:21085684}; Single-pass type II membrane protein {ECO:0000305|PubMed:21085684}. Nucleus {ECO:0000269|PubMed:22102906}. Early endosome {ECO:0000305|PubMed:22102906}. Cytoplasmic vesicle, phagosome {ECO:0000269|PubMed:22102906}. Note=Activation of microglia induces translocation of PLD4 from the nucleus to the phagosomes. {ECO:0000269|PubMed:22102906}.
P43883	reviewed	Plin2 Adfp Adrp	SUBCELLULAR LOCATION: Membrane {ECO:0000305|PubMed:1518805}; Peripheral membrane protein {ECO:0000305|PubMed:1518805}. Lipid droplet {ECO:0000269|PubMed:9392423}.
Q5SUV5	reviewed	Mylk4 Sgk085	
Q8K0S0	reviewed	Phyhip	
Q9D483	reviewed	Polr3c	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
